layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,bd,lat,lon,source_db,rse_alpha,rse_n,oc,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
598640,57889,loamy sand,0.2219381616556112,2.008582051,0.070541882,0.371838857,85.5,2.7,11.8,,111.5,1.779661017,13.533333,2.083333,WOSIS,0.0511755684660469,0.0592242048535127,0.02,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.070541882,0.371838857,0.2219381616556112,2.008582051,0.5021363456363974,
598648,57891,loamy sand,0.8822173701518868,1.739690197,0.044942389,0.404164414,85.19999999999999,7.4,7.4,,12.5,1.676245211,13.533333,2.083333,WOSIS,,,0.22,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.044942389,0.404164414,0.8822173701518868,1.739690197,0.42518501183461,
598663,57893,sandy clay loam,0.4826074023239333,1.698006134,0.103682231,0.464513218,62.5,17.0,20.5,,28.5,1.534968211,13.533333,2.083333,WOSIS,0.1215168931670329,0.1001595008905752,0.28,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.103682231,0.464513218,0.4826074023239333,1.698006134,0.4110739767209815,
598664,57893,sandy clay loam,0.1199772108722142,1.499638129,0.113916988,0.26763853,62.8,15.5,21.7,,48.5,1.680143756,13.533333,2.083333,WOSIS,0.0413782989341733,0.0471493799865702,0.21,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.113916988,0.26763853,0.1199772108722142,1.499638129,0.3331724629682312,
598665,57893,sandy loam,2.0850762829304603,1.547130095,0.107849649,0.418910672,53.400000000000006,28.6,18.0,,81.5,1.663585952,13.533333,2.083333,WOSIS,,,0.09,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.107849649,0.418910672,2.0850762829304603,1.547130095,0.3536419443770175,
598670,58096,clay,0.8194862840011625,1.148755059,0.046241371,0.43996552,25.9,32.9,41.2,,34.0,1.231766613,13.816667,5.316667,WOSIS,0.074040963493692,0.0859443913097436,0.42,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.046241371,0.43996552,0.8194862840011625,1.148755059,0.1294924081809854,
598675,58096,sandy clay loam,9.873550847639102,1.087060296,0.0,0.44178743,49.8,19.1,31.1,,193.5,1.365159129,13.816667,5.316667,WOSIS,,,0.06,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.44178743,9.873550847639102,1.087060296,0.0800878261494337,
598678,58097,sand,4.308283899190855,1.333560332,0.010296353,0.296089594,89.3,6.5,4.2,,17.0,1.553211889,13.816667,5.316667,WOSIS,,,0.15,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.010296353,0.296089594,4.308283899190855,1.333560332,0.2501276650151588,
598682,58097,loamy sand,3.063070542947898,1.345652248,0.039336787,0.307934285,86.6,2.9,10.5,,172.0,1.533396049,13.816667,5.316667,WOSIS,,,0.06,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.039336787,0.307934285,3.063070542947898,1.345652248,0.2568659536769115,
598693,58099,sand,0.1145664068769661,2.873395225,0.0231697,0.429952138,92.8,3.1000000000000005,4.1000000000000005,,44.0,1.592664093,13.483333,7.166667,WOSIS,0.0157249586260556,0.0352731949554317,0.05,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0231697,0.429952138,0.1145664068769661,2.873395225,0.6519796541389464,
599474,63315,loamy sand,0.1104420330082138,1.28755888,0.0,0.273921548,77.6,17.4,5.0,,116.0,1.621863799,-20.427166,28.4075279,WOSIS,0.121220769553158,0.0571519335448795,0.07,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.273921548,0.1104420330082138,1.28755888,0.2233364892796203,
599485,63317,sandy clay loam,0.0337070159534601,1.485482792,0.154539395,0.338523406,62.9,9.4,27.699999999999996,,81.0,1.4879468,-20.4023895,28.4723606,WOSIS,0.1677496602147575,0.2488288585932001,0.14,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.154539395,0.338523406,0.0337070159534601,1.485482792,0.3268181863933702,
599486,63317,sand,0.0183643668327104,2.916613284,0.08319219,0.2170623,90.2,7.000000000000001,2.8,,107.5,1.778975741,-20.4023895,28.4723606,WOSIS,0.0572977278318073,0.1115874479141928,0.01,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.08319219,0.2170623,0.0183643668327104,2.916613284,0.6571365818410638,
599536,63416,silty clay,0.3623041349492436,1.114679427,0.0,0.432486861,10.6,42.7,46.7,,113.5,1.268834259,-17.5672226,30.9747219,WOSIS,0.3499134656265813,0.1356136441107261,0.14,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.432486861,0.3623041349492436,1.114679427,0.1028810833161631,
599537,63416,silty clay loam,0.1423758556693672,1.112078393,0.0,0.395954457,13.1,47.3,39.6,,125.0,1.3585209,-17.5672226,30.9747219,WOSIS,0.174236645657392,0.0732309839595933,0.12,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0,0.395954457,0.1423758556693672,1.112078393,0.1007828168458984,
599604,63444,loamy sand,0.1706336344215405,1.627836702,0.035827148,0.288605238,81.0,14.7,4.3,,23.0,1.576994434,-17.9666672,31.396944,WOSIS,0.0764585958967222,0.0783048471734613,0.24,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.035827148,0.288605238,0.1706336344215405,1.627836702,0.3856877666098967,
599608,63444,sandy loam,0.1482165954734797,1.299915379,0.030298588,0.265860815,77.1,13.699999999999998,9.2,,127.5,1.654611212,-17.9666672,31.396944,WOSIS,0.0781915086942374,0.0915205185259939,0.03,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.030298588,0.265860815,0.1482165954734797,1.299915379,0.230719155912071,
599655,63564,loamy sand,0.7964385517990343,1.631557766,0.044867939,0.347079767,83.3,8.7,8.0,,15.5,1.41509434,-17.6627769,31.7902775,WOSIS,0.2873656234713207,0.191987237791325,0.24,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.044867939,0.347079767,0.7964385517990343,1.631557766,0.3870888173014892,
599697,63578,loamy sand,2.72645060851565,1.395655127,0.022073654,0.28967253,85.6,11.0,3.4000000000000004,,16.0,1.570881226,-17.2797222,32.231945,WOSIS,,,0.2,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.022073654,0.28967253,2.72645060851565,1.395655127,0.2834906126490373,
599779,65983,silt loam,0.316293254883166,1.280615718,0.011802097,0.489534351,32.2,52.8,15.0,,47.5,1.028481013,42.1896667,24.3983612,WOSIS,0.3653231300637872,0.3254652185947759,0.54,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.011802097,0.489534351,0.316293254883166,1.280615718,0.2191256237571808,
601050,66916,sand,0.0718305220437152,1.34152595,0.002816017,0.06204763,96.3,2.3,1.4,,1.0,2.22331048,-77.0232239,162.5256653,WOSIS,0.327217500490324,0.4118836504224641,,disturbed,GSHP disturbed_undisturbed field (Gupta et al. 2022),0.0131528112201934,0.0609411808327898,0.0151053778363096,1.010000012642926,0.9799999448179674,0.0020638902214252
