layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,porosity,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
HB_FSUJ_016,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4120,silt loam,0.005755738839980647,1.4477151622891502,1.2904374260817828e-38,0.5445752630609348,8.608608608608609,75.57557557557558,15.815815815815798,15.480634541666667,27.5,51.109,10.412,Hohenbrink,1.25,0.59,0.02806014061630771,13,0.05595783285689689,0.5500325529677081,0.0016916232680386314,1.01,0.9799999999999996,0.02370137569869993
HB_FSUJ_017,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silt loam,0.034937613308204434,1.2410713828921172,8.094311252809612e-35,0.4862511243571746,15.2,61.8,23.0,28.826290458333332,27.5,51.108,10.413,Hohenbrink,1.24,0.52,0.023551731388794853,10,6.583223678331867e-32,0.4879419208142373,0.021999042089486498,1.01,0.27555757784235446,0.020956184864199378
HB_FSUJ_018,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4130,silt,0.14127773861993898,1.2141213422977595,1.8879372933785133e-22,0.4081209780105434,9.2,80.2,10.6,23.430888541666665,27.5,51.108,10.413,Hohenbrink,1.11,0.46,0.01397901007754789,19,4.5122583527749444e-18,0.40949298065143735,0.10909004403274943,1.0100000000000242,0.22692164334389647,0.012901506665509559
HB_FSUJ_019,HB_Friedrich_Schiller_Universitaet_Jena_51.1090_10.4130,silt loam,0.03584573508466763,1.304729963944105,1.6491982867580916e-27,0.41811482037506476,8.3,77.2,14.5,52.455225500000005,27.5,51.109,10.413,Hohenbrink,0.92,0.45,0.021961292057256724,19,4.326985118397563e-28,0.41926805956070706,0.019945675417909238,1.01,0.36477195244289856,0.01966627250776987
HB_FSUJ_020,HB_Friedrich_Schiller_Universitaet_Jena_51.1080_10.4120,silt,0.023939577368619958,1.3568639090191277,4.493833605372933e-30,0.4217791143476678,10.6,85.2,4.2,74.09497541666667,27.5,51.108,10.412,Hohenbrink,0.78,0.46,0.017967048367313946,13,3.2504033322120957e-20,0.42454114979250085,0.011887746847865472,1.01,0.4568449349718056,0.014486848363278185
HB_FSUJ_022,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.9663701296809188,1.1371827375242907,4.025536989396963e-20,0.6558281406731672,61.4,38.5,0.1,104.66193466666665,27.5,46.2115,-75.0475,Hohenbrink,5.38,0.71,0.014473972021816122,14,2.2875381410918092e-20,0.660675797417487,0.9171239163239001,1.0100000000000189,0.13887572849923233,0.01416498959892745
HB_FSUJ_023,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,loamy sand,0.23714081733585024,1.3594190900572243,0.007733778191911605,0.46872862153081596,75.3,24.6,0.1,2.752889375,27.5,46.2115,-75.0475,Hohenbrink,1.38,0.53,0.00812162277349669,12,4.865780722850197e-20,0.4537405175263374,0.3326483205109683,3.192670702996212,0.09371245056862408,0.003964789508886824
HB_FSUJ_024,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.0520486407444242,1.3752889353155178,1.8341148946968518e-19,0.5966194851554618,19.8,70.0,10.2,213.69224333333332,27.5,46.2115,-75.0475,Hohenbrink,2.13,0.66,0.015303932373118162,18,6.783133675882526e-16,0.60220325216909,0.03172454850562601,1.0100000000000104,0.43979353740912547,0.01094952683300832
HB_FSUJ_025,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,loam,0.1505794760822959,1.2448335074764956,2.9963812981896253e-25,0.5964902773577324,45.5,38.2,16.3,37.13545575,27.5,46.2115,-75.0475,Hohenbrink,2.14,0.67,0.012681649045457117,12,8.769373262076669e-25,0.6028580956826399,0.11297646237476121,1.01,0.2687633955429186,0.010539794645907687
HB_FSUJ_026,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,loam,0.060193528562668505,1.251192389014812,3.711124167558451e-34,0.660791044205754,39.9,47.7,12.4,4.363035625,27.5,46.2115,-75.0475,Hohenbrink,7.73,0.72,0.02901517480669661,13,1.7613476416116938e-25,0.6651172289609887,0.04114109185784598,1.01,0.28326363302736296,0.02547264797744239
HB_FSUJ_028,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.37625053184559876,1.1843695708582527,5.902580694692464e-23,0.6392029297525058,67.1,27.6,5.3,42.637208,27.5,46.2115,-75.0475,Hohenbrink,9.28,0.8,0.022631931884886707,15,2.5225197905991697e-22,0.6420053381409981,0.30049115601117,1.01,0.19473046497880167,0.021125348503432305
HB_FSUJ_029,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.08673837805037604,1.3104255394497974,1.2787332718263656e-21,0.7431845711000944,57.8,35.2,7.0,4.363035625,27.5,46.2115,-75.0475,Hohenbrink,9.91,0.79,0.020949133697673122,16,8.863435935917281e-21,0.7468569812986556,0.049884134685845787,1.01,0.377845072099491,0.015786667148471628
HB_FSUJ_030,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.6926729105046173,1.1244801015794432,4.688666507103699e-21,0.7068965053503753,62.8,37.1,0.1,18.188159666666667,27.5,46.2115,-75.0475,Hohenbrink,8.5,0.8,0.003155592600906007,11,1.2441843004563111e-11,0.7105351329091508,0.6352417941321966,1.01,0.12759372021781767,0.0027025750734294904
HB_FSUJ_031,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.297857805024462,1.1815474167402171,0.022387445050390548,0.7625394517250643,52.05205205205204,38.03803803803804,9.909909909909919,30.184831666666668,27.5,46.2115,-75.0475,Hohenbrink,9.24,0.82,0.008225875485436658,13,4.345264095998319e-25,0.7512682957890365,0.3699168666664983,1.8724048087108138,0.08602270760125541,0.006953637022619217
HB_FSUJ_032,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,sandy loam,0.47628805630719634,1.1793283419129397,0.05737471761552418,0.8010945917716327,69.2,28.6,2.2,41.666666666666664,27.5,46.2115,-75.0475,Hohenbrink,12.29,0.84,0.004574709599777097,12,6.0056879293606814e-21,0.7893019691583797,0.5888371696899609,1.7251438984213485,0.08615736788676895,0.003396985053865868
HB_FSUJ_033,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.2855688932829741,1.1494717057461215,1.763377012395644e-17,0.7787975186429569,20.6,71.6,7.8,3.0887926666666665,27.5,46.2115,-75.0475,Hohenbrink,11.44,0.83,0.009599572032021088,12,2.9673752340056023e-28,0.7780592356826294,0.29215647184134913,1.18096867791347,0.12560195318056933,0.009597240944646456
HB_FSUJ_034,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.20270943579512532,1.236912969505273,2.9388391643175244e-25,0.6015514962100841,20.5,60.3,19.2,35.46408491666667,27.5,46.2115,-75.0475,Hohenbrink,4.2,0.67,0.014773846379391997,13,9.459684892541385e-21,0.6084640343310567,0.1608606672729381,1.01,0.2534052273587085,0.012551148410056613
HB_FSUJ_035,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt,0.04116454314431317,1.3909340057082331,2.5956596749668987e-19,0.593492562247827,8.3,84.2,7.5,5.367706458333333,27.5,46.2115,-75.0475,Hohenbrink,1.19,0.65,0.011343391724253962,14,0.01728399823690073,0.6005405394412724,0.020186530209082666,1.01,0.5510430001567265,0.007809086234989717
HB_FSUJ_037,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt loam,0.041008934182915936,1.335096960941306,2.8461270702874105e-30,0.5366764885905109,7.6,77.0,15.4,12.876230958333332,27.5,46.2115,-75.0475,Hohenbrink,1.69,0.63,0.0206004870253094,17,2.2900582680293303e-20,0.540012316806589,0.022429713004062914,1.01,0.4205737039513608,0.016246629786630943
HB_FSUJ_038,HB_Friedrich_Schiller_Universitaet_Jena_46.2115_-75.0475,silt,0.07204332664107481,1.2983963218229437,8.529853871447887e-22,0.5798238258650803,12.1,81.2,6.7,223.7632485,27.5,46.2115,-75.0475,Hohenbrink,1.55,0.69,0.010553456890167035,15,9.579576185972427e-19,0.585023420889858,0.049026011741868304,1.01,0.33749321819662376,0.006945748606723033
