layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
BB_33-1,BB_33,clay loam,4.169170232042627,1.1119589099817477,1.0262118140635561e-13,0.4052418169821608,33.0,35.0,32.0,7.378795920981133,7.5,36.9421,48.3529,Babaeian_Zanjan,0.663,1.1430120000000001,,1.32769309912414,0.01028145068965178,9,2.0185785650963483e-15,0.40486282973841237,3.7144013516105607,1.01,0.11259975347029501,0.01009677773564794,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_34-1,BB_34,loam,2.4656590622692955,1.1663202272915882,8.117615203533573e-11,0.46823131904823734,47.0,28.000000000000004,25.0,6.254223231936198,7.5,36.9421,48.3529,Babaeian_Zanjan,0.663,1.1430120000000001,,1.3430524439810951,0.016794217318095807,10,3.4419321968546543e-12,0.46335536157387575,3.181279978871638,3.4771113391477577,0.045432133575526744,0.01577802599479702,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_34-2,BB_34,clay loam,1.9485817295572199,1.229250662109804,0.06556387505538426,0.48280929614664686,44.0,28.000000000000004,28.000000000000004,7.926192925573017,22.5,36.9421,48.3529,Babaeian_Zanjan,0.702,1.210248,,1.3813956337926538,0.010524924231161952,10,0.03636967847018455,0.479214460993314,2.9063159224236177,2.5576447464398626,0.07210764279606839,0.009529516783061007,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_36-1,BB_36,loam,0.7061827067232388,1.3667863847852826,0.09926761955119039,0.5115382048495215,42.0,34.0,24.0,10.350543599003869,7.5,36.9391,48.3535,Babaeian_Zanjan,0.722,1.2447279999999998,,1.2906001698296161,0.013302060539475713,11,0.0850864978193238,0.5070273886995751,0.9337881103690489,1.8634660548433328,0.16684271589068447,0.013081808659727885,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_37-1,BB_37,loam,1.5149297468228409,1.1989160846656712,0.04038816376705914,0.45361904405476805,42.0,34.0,24.0,7.651035561358337,7.5,36.9406,48.3591,Babaeian_Zanjan,0.761,1.311964,,1.3422504144871215,0.008575665549978925,11,7.61133476026868e-23,0.4495976410698475,2.2976809646647864,2.412264452516256,0.06391881391706218,0.007649402178889583,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_37-2,BB_37,clay loam,0.8889561532256722,1.2669979298800498,0.055136288617243526,0.561036438422161,43.0,30.0,27.0,5.676055413124874,22.5,36.9406,48.3591,Babaeian_Zanjan,0.761,1.311964,,1.3850398991308908,0.003648444974002403,11,0.05740319774714631,0.5612895751575021,0.8631522173275893,1.2423427280269659,0.21855352727323338,0.00364334446057116,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_38-1,BB_38,clay loam,2.0619721838381695,1.1411697937402236,3.3101518183106023e-18,0.4177959211637708,41.0,31.0,28.000000000000004,6.5369173889206165,7.5,36.9318,48.3558,Babaeian_Zanjan,0.8,1.3792,,1.3409252040556188,0.01047929313767228,10,1.6198108335827014e-26,0.4142900820007409,2.6019943489739474,2.218955257087993,0.06066877927682589,0.009953546965644695,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_38-2,BB_38,clay loam,1.9124688314685352,1.1903083753925288,0.05790634315841597,0.39886776332633445,39.0,30.0,31.0,5.907428840753333,22.5,36.9318,48.3558,Babaeian_Zanjan,0.858,1.479192,,1.4339202294791689,0.012471920556030027,11,0.021567778353172674,0.39379398158142714,2.8009431907410507,3.5783237858959716,0.040886590919220735,0.011419017167803929,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_41-1,BB_41,clay loam,0.5395829801368921,1.2613643924463407,0.04867256112093096,0.5264080043960373,40.0,32.0,28.000000000000004,8.426377900273435,7.5,36.9319,48.3628,Babaeian_Zanjan,1.073,1.8498519999999998,,1.2699513505502507,0.006267731914781489,11,0.08173140779960394,0.529660597160306,0.3395545144294569,1.01,0.33998858440852275,0.004918427398430811,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
BB_43-1,BB_43,clay loam,0.8501607673378218,1.2316526601741842,0.0650151282852899,0.4145378897852204,45.0,28.000000000000004,27.0,5.931973191376989,7.5,36.9254,48.3657,Babaeian_Zanjan,0.761,1.311964,,1.375770046017445,0.007978392856337538,11,0.05026664486012933,0.41310488495325165,1.020290313760973,1.43792263464373,0.14267945402542911,0.007909540294739208,undisturbed,"Babaeian et al. 2015: 0-100 cm on undisturbed cores, 330-15000 cm on disturbed samples; Ks on repacked samples, used as undisturbed (project decision)"
