layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
BA_AZ1,BA_AZ1,sand,0.8355845469921237,1.8729268707887654,0.021858253544106372,0.36666704055303945,90.6481285208078,6.933891528907688,2.4179799502845087,37.454795931219344,,,,Babaeian_Arizona,0.5601050840185609,0.9656211648479989,,1.65,0.007293748286260032,11,0.021858253544105886,0.36017235261715985,1.1440469121340828,3.293394200818931,0.22097491243060377,0.00447430457660161,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ2,BA_AZ2,sand,0.1819216472498301,3.941028297076156,0.03846322568210906,0.36362196085630877,96.30900581868633,3.073128728757844,0.6178654525558455,16.442092959925773,,,,Babaeian_Arizona,0.5061662075272948,0.8726305417770562,,1.63,0.003720923995727668,9,0.03846322568210906,0.3613948872333357,0.22124550813475213,5.869423284213139,0.38812593849428156,0.0019746143639569683,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ3,BA_AZ3,loamy sand,0.7148626959947882,1.3528518387661448,0.011374541884464478,0.37133848711333745,80.82013325565084,13.879886213959765,5.299980530389392,2.1275575855902242,,,,Babaeian_Arizona,0.8947637031407786,1.5425726242147022,,1.61,0.004961183052353375,16,0.01619486695221007,0.37231829434421043,0.6247855750370652,1.2300999040135414,0.30785101064491216,0.004910369660355651,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ4B,BA_AZ4,sandy loam,0.16594761932158572,2.1426492488256126,0.06070759297112621,0.38385511278794593,73.68411609045278,17.51757980744717,8.798304102100067,1.0435998107005473,,,,Babaeian_Arizona,0.9023312059857233,1.555618999119387,,1.59,0.010021510762342846,11,0.06070759297112621,0.3765356090120752,0.22813498899841353,3.967369263101076,0.2273777790606341,0.00788823059766562,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ4A,BA_AZ4,loamy sand,0.23390801727077185,1.5963249259716612,0.053959766092182324,0.3764590115840563,80.38580534186367,14.165870198584958,5.448324459551365,3.219663812727956,,,,Babaeian_Arizona,1.3313401770841709,2.2952304652931104,,1.6,0.007972131904259105,11,0.05190644886418952,0.3747496904994664,0.2560592706115778,1.7527966637200652,0.3214153740884635,0.0079231575228008,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ5,BA_AZ5,sandy loam,0.07553650157557666,3.289325282508141,0.15010579722030623,0.38509700455233314,66.96380705976769,24.52406765138868,8.512125288843631,0.9725221545379762,,,,Babaeian_Arizona,1.5257762073026153,2.630438181389709,,1.59,0.005220706567590332,9,0.13297203494063695,0.3832061359028553,0.10897431269491167,6.616755567258723,0.18135143875276022,0.004637637991958119,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ6,BA_AZ6,sandy loam,0.1799796487054205,2.186085139598836,0.13081161999887905,0.39165719392642445,70.5533197521267,15.667811742170692,13.7788685057026,2.9282588811840196,,,,Babaeian_Arizona,0.4599230838472261,0.7929073965526178,,1.54,0.0045043568766602446,9,0.1291142972346758,0.39134134023304434,0.18961420830978476,2.263859348400765,0.4950801251165315,0.004496882757798448,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ7,BA_AZ7,sandy loam,0.1046131471908549,1.4299612664391623,1.97488953389398e-15,0.38913957297716145,58.49216963900448,32.018372981214185,9.489457379781342,0.5441933602076485,,,,Babaeian_Arizona,0.6170478478781677,1.063790489741961,,1.51,0.008533465972198647,9,0.08191711950209489,0.39325556943007,0.03891816895644872,1.0937839745012727,0.9799999999999999,0.007731678033012919,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ8,BA_AZ8,sandy clay loam,0.09460693566462992,2.189579438970914,0.22150453794807154,0.42477499981512196,52.83694087112572,26.118151255064877,21.044907873809404,0.3175716191861541,,,,Babaeian_Arizona,2.22901394624524,3.842820043326794,,1.49,0.004178783158367045,9,0.2052382418810667,0.42378246168890504,0.1223101147831024,2.622378209168056,0.31474991779389183,0.00406866280811286,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
BA_AZ9,BA_AZ9,silt loam,0.021402651408437678,1.622641813343876,0.12148780077903293,0.45629398822231243,22.070018709063426,53.29767901827315,24.632302272663424,0.31341246244840315,,,,Babaeian_Arizona,0.480611791549841,0.8285747286319259,,1.37,0.0028876170785653754,12,0.09614663913783782,0.45588347277212476,0.02717859671623261,1.7746990513256216,0.26549574183485436,0.002863052505442654,undisturbed,"undisturbed samples (confirmed to the project, 2026-09-17)"
