layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,island,locality,sand_resin,silt_resin,clay_resin,texture_class_resin
AR_C1S-10_nov99,AR_C1,sandy loam,0.14209539974448912,1.6231911516956976,0.3535583308289933,0.6210299469654434,65.30000000000001,21.400000000000002,13.300000000000002,35.97,7.5,28.52,-16.38,Armas_Canarias,1.6821345707656612,2.9,,0.79,0.009211081651119958,14,0.35355833082896115,0.6178922902456848,0.19465956103289173,2.467401511866193,0.2197130588645441,0.008714071198590209,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-11_nov99,AR_C1,sandy loam,0.18213294819109646,1.6102243356110826,0.29546906532337236,0.5817497000570421,69.6,20.7,9.7,8.64,7.5,28.52,-16.38,Armas_Canarias,1.334106728538283,2.3,,0.83,0.008300024202834357,14,0.2954690653222877,0.5825665379874693,0.1673473709348463,1.4999350024744806,0.4215596962513055,0.008274134719619016,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",45.5,22.5,32.0,sandy clay loam
AR_C1S-12_nov99,AR_C1,sandy loam,0.16952345838251534,1.6669883577275009,0.289836385866213,0.5802100502576887,67.5,20.5,12.0,7.959999999999999,7.5,28.52,-16.38,Armas_Canarias,1.6821345707656612,2.9,,0.76,0.009145272727741901,14,0.28983638586621313,0.5760238087233864,0.24043501120154762,2.822096135404454,0.20198377185282704,0.008165369774348482,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-13_nov99,AR_C1,sandy loam,0.15122061635492828,1.6852370294074097,0.29068880797363167,0.6117347042123971,71.5,21.2,7.3,2.38,7.5,28.52,-16.38,Armas_Canarias,1.0440835266821347,1.8,,0.81,0.005746525687327176,13,0.2755549978755975,0.6067981177461126,0.24664558079293264,3.4541693716489474,0.1417624874590368,0.0024637231502684493,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-14_nov99,AR_C1,sandy loam,0.20571917552973623,1.701477760553618,0.3050262464759026,0.6379498090895914,68.66866866866866,19.619619619619623,11.711711711711713,10.15,7.5,28.52,-16.38,Armas_Canarias,1.6241299303944314,2.8,,0.77,0.006425424608524229,14,0.29359670361678625,0.6325149546956425,0.3048186755965889,3.0159829245310523,0.1785108628015613,0.003975666338995658,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-15_nov99,AR_C1,sandy loam,0.1946193673407829,1.5251601080335324,0.27396665706095497,0.6342245381882728,66.5,22.8,10.7,6.4,7.5,28.52,-16.38,Armas_Canarias,1.5661252900232019,2.7,,0.81,0.005830688460026951,13,0.25434256927311877,0.6289964842147648,0.2979652342816169,2.527632419919091,0.15564139700272164,0.003706428762725957,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-16_nov99,AR_C1,sandy loam,0.22381139316143278,1.6085756383301697,0.24906124699549356,0.6329358524381639,72.0,16.1,11.9,1.6800000000000002,7.5,28.52,-16.38,Armas_Canarias,1.334106728538283,2.3,,0.77,0.004921572633390857,13,0.23708670046894245,0.6288793008245602,0.31480251391381353,2.284435050266342,0.21365173977971746,0.0033874506895952435,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-17_nov99,AR_C1,sandy loam,0.39803526921062415,1.4817803138290673,0.19896956901960758,0.6165454686012537,68.7,21.3,10.0,1113.6200000000001,7.5,28.52,-16.38,Armas_Canarias,1.740139211136891,3.0,,0.77,0.006333747929004836,13,0.18735575411559222,0.6130014173045215,0.5166616166989193,1.924375151593967,0.21326016172992038,0.005584020296194755,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-18_nov99,AR_C1,sandy loam,0.21848200246333818,1.4120042455641455,0.19832648181786008,0.5487875457297486,65.8,23.5,10.7,22.72,7.5,28.52,-16.38,Armas_Canarias,1.334106728538283,2.3,,0.78,0.012397116802160983,14,0.21808844444692696,0.5551934553354794,0.11245534301627624,1.0100000000004583,0.5897383671799002,0.011504499932452918,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",,,,
AR_C1S-19_nov99,AR_C1,sandy loam,0.27822407813722777,1.729936019538342,0.2881538418594183,0.6354351631176578,65.76576576576578,21.921921921921925,12.312312312312313,12.76,7.5,28.52,-16.38,Armas_Canarias,1.334106728538283,2.3,,0.77,0.005414620223942709,14,0.2881538418594183,0.6363004428509795,0.26485358815552434,1.646051463063779,0.453247772185851,0.0053828040997466325,undisturbed,"Armas Espinel (2013): undisturbed rings, Tempe cells and pressure plates; Ks on the rings",Tenerife,"Valle Guerra, La Laguna",46.5,14.5,39.0,sandy clay
