layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
TG_1_0,TG_1,silt loam,0.2607857955674452,1.3415554769608167,0.07073590977837475,0.5074280801875314,20.64793520647935,64.21357864213579,15.13848615138486,5.3885347800000005,5.0,37.403333,101.701667,Tong_YellowRiver,,,,1.311836653,0.00044653790453342933,11,0.07573925358228162,0.5080477816418854,0.24387815106920221,1.2871828361875448,0.27745914773505165,0.00023299680692441264,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_1,TG_1,silt loam,0.130034116537853,1.5049313156499653,0.08267396856789648,0.4965190141531231,9.51,75.82,14.67,1.61009862,20.0,37.403333,101.701667,Tong_YellowRiver,,,,1.397168814,0.0030647624615703414,11,0.09826626310008946,0.5003381957733605,0.08880940606881249,1.2302106326503304,0.524308182614917,0.0022194634562006685,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_2,TG_1,silt loam,0.13374626367670844,1.4994393952959308,0.08568229363585446,0.5089353731853538,9.189081091890811,78.05219478052194,12.758724127587241,1.9758999,40.0,37.403333,101.701667,Tong_YellowRiver,,,,1.355781553,0.0029479958123016796,11,0.10101715264754595,0.5126328545571959,0.0933882043186266,1.237346451752292,0.5084556872773957,0.0021162414344860544,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_5,TG_1,silt loam,0.1383270555191682,1.4029946499674626,0.08467623455278434,0.5153495530688649,5.11,77.84,17.05,9.200094839999998,100.0,37.403333,101.701667,Tong_YellowRiver,,,,1.328345055,0.0021566548111982805,11,0.10373465762712676,0.51817792173345,0.10101877753906237,1.1932365898516517,0.4165131765216869,0.0014787918666189703,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_10,TG_1,silt loam,0.1385689499894662,1.414529571838702,0.07500900449704133,0.5144545530959619,7.589999999999999,77.76,14.649999999999999,3.0260348400000003,200.0,37.403333,101.701667,Tong_YellowRiver,,,,1.308348962,0.0013392829812788824,11,0.08638407699951893,0.5161276880716411,0.1163898930387981,1.2827862541167432,0.3639941153211042,0.0009322757082812723,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_15,TG_1,silt loam,0.22676354730004591,1.2453543315515898,0.002842135258304002,0.5140128287895389,11.83,76.71,11.46,0.83724318,300.0,37.403333,101.701667,Tong_YellowRiver,,,,1.305093785,0.004906244715863482,11,0.06166045464500397,0.5171139301530889,0.13502434134994246,1.010000000000177,0.35288210902573536,0.003381483268911831,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_20,TG_1,silt loam,0.141173725879112,1.412250140941676,0.088226760383564,0.5233075024318228,8.42,77.0,14.58,0.7482681600000001,400.0,37.403333,101.701667,Tong_YellowRiver,,,,1.283005078,0.0046491947866019075,11,0.12325322745416548,0.5300105668027769,0.06517082102809658,1.0185702402244186,0.650560859594184,0.00309896339312872,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_1_25,TG_1,silt loam,0.11561444334874882,1.43168058257332,0.0639702354028853,0.48818222477701123,9.319068093190682,76.81231876812319,13.868613138686133,0.46925135999999995,500.0,37.403333,101.701667,Tong_YellowRiver,,,,1.391123484,0.0032079032317804406,11,0.08865502686106454,0.4922554530145167,0.07198199903035005,1.143754146438946,0.5151650763013147,0.0023240705597406815,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_2_0,TG_2,silt loam,0.34388571698716236,1.4715340719674612,0.09952281685702351,0.5250435702767756,33.05,57.77,9.18,7.0364343,5.0,36.522778,101.663889,Tong_YellowRiver,,,,1.26161391,0.00402378685830193,11,0.07801578226592212,0.5201394762678782,0.4972840346088817,2.1882709858031166,0.16826133683457087,0.0018911553436836977,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
TG_2_1,TG_2,silt loam,0.2173560583137948,1.3053741471090479,0.07658210004588638,0.430428449300507,31.69,60.48,7.83,4.89688968,20.0,36.522778,101.663889,Tong_YellowRiver,,,,1.519237981,0.002450155070814254,11,0.03139286096928756,0.4274441541802629,0.323450771343462,1.8384285798481252,0.11933248768369845,0.0014150873301216297,undisturbed,Tong et al. (2024): undisturbed cores for Ks and bulk density; retention taken to be on the same cores
