layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,lat,lon,source_db,oc,om,porosity,bd,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source,soil,county,horizon,saturation_point,pdf_page
NJ26_S60NJ-4-1_42-60,NJ26_S60NJ-4-1,sand,0.1677362619475096,1.5598371671459308,3.8497033794121854e-20,0.43821960373381846,94.5,2.9,2.6,13.97,129.54000000000002,,,SSIR26_NewJersey,,,0.44,1.39,0.01773147062628784,9,7.927281177224041e-26,0.444997165630292,0.0761481893283507,1.0100000000000142,0.7379675264157289,0.016364829148673342,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,IIIC3,True,13
NJ26_S60NJ-4-2_0-10,NJ26_S60NJ-4-2,loamy sand,0.0902989068294732,1.4465702709742527,2.3811728484404811e-26,0.40747958794054306,81.69999999999999,11.899999999999999,6.3999999999999995,2.032,12.7,,,SSIR26_NewJersey,0.55,0.9482,0.418,1.46,0.022415717587698048,9,0.0010867733089839939,0.41359024685775797,0.045924453088598015,1.010000000000008,0.5681582610970989,0.020504790974737844,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,Ap,True,15
NJ26_S60NJ-4-2_10-18,NJ26_S60NJ-4-2,loamy sand,0.1709360166232496,1.4259412459405014,7.534153272619212e-27,0.3464705937436735,80.2,15.1,4.7,0.254,35.56,,,SSIR26_NewJersey,0.08,0.13792000000000001,0.35600000000000004,1.59,0.01766424268261697,9,2.810296929778355e-32,0.34854169049176165,0.08677958826367675,1.01,0.529157003576082,0.015079454998937196,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,A2,True,15
NJ26_S60NJ-4-2_18-22,NJ26_S60NJ-4-2,sandy loam,0.3127284893871111,1.2756339257466678,2.896643131358649e-26,0.37996209973791134,74.80000000000001,13.600000000000001,11.600000000000001,0.254,50.8,,,SSIR26_NewJersey,0.1,0.1724,0.386,1.54,0.016811122063237333,9,2.0104057599403785e-27,0.38070313209177814,0.22065066585610502,1.01,0.2990842759137506,0.01569637581322173,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,B1t,True,15
NJ26_S60NJ-4-2_22-28,NJ26_S60NJ-4-2,sandy loam,0.42773612406655576,1.366856516735884,0.030642239464047722,0.38917790406325437,76.7,12.5,10.8,1.524,63.5,,,SSIR26_NewJersey,0.06,0.10343999999999999,0.386,1.48,0.008758396148401066,9,0.0019091997414561936,0.38596773769910175,0.6887902799586202,3.1982888647949568,0.08455382655890832,0.00751391003011883,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,B2t,True,15
NJ26_S60NJ-4-2_28-33,NJ26_S60NJ-4-2,sandy loam,1.252497491154194,1.245226504681075,1.1267365672702825e-12,0.4005274306991108,78.2,11.0,10.8,2.286,77.47,,,SSIR26_NewJersey,0.04,0.06896000000000001,0.39899999999999997,1.43,0.021648439433732618,9,5e-324,0.3990001399312735,1.46669825555378,10.261382686332798,0.023116969882806787,0.02115420582802623,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,B3t,True,15
NJ26_S60NJ-4-2_33-43,NJ26_S60NJ-4-2,sand,0.4440168677862565,1.4430830426050782,2.1183715765309747e-27,0.44461833730117106,88.39999999999999,9.199999999999998,2.3999999999999995,4.826,96.52000000000001,,,SSIR26_NewJersey,0.04,0.06896000000000001,0.456,1.33,0.020450584078926637,9,9.181682223125576e-23,0.44728150751701157,0.25958665272402937,1.01,0.5197038094822231,0.017271148087617642,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Camden,C1,True,15
NJ26_S60NJ-8-1_8-18,NJ26_S60NJ-8-1,sandy loam,0.10025621903784832,1.3605425610245447,5e-324,0.327109475107534,73.1,19.7,7.2,0.254,33.019999999999996,,,SSIR26_NewJersey,0.1,0.1724,0.354,1.56,0.02566472095223887,9,5e-324,0.3267919063195447,0.04436286501570581,1.01,0.4750198332465395,0.023045656890689617,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Gloucester,A2,True,17
NJ26_S60NJ-8-1_18-27,NJ26_S60NJ-8-1,sandy loam,0.20490645860220041,1.2233119188813077,3.395879654560017e-72,0.38870339549572347,66.6,17.4,16.0,0.762,57.15,,,SSIR26_NewJersey,0.1,0.1724,0.409,1.46,0.02427445604902463,9,1.8111358157653425e-71,0.3872750242802381,0.1317477168065668,1.01,0.24845441456073883,0.02293263195652257,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Gloucester,B2t,True,17
NJ26_S60NJ-8-1_27-33,NJ26_S60NJ-8-1,sandy loam,0.1714164536422996,1.2706404705886574,7.304374157818351e-20,0.3947264778532406,71.19999999999999,14.399999999999999,14.399999999999999,2.286,76.2,,,SSIR26_NewJersey,0.08,0.13792000000000001,0.406,1.42,0.01968869284328748,9,7.612899244584835e-24,0.39689594024543695,0.12043078864778892,1.01,0.2966592968472166,0.01856164009993208,undisturbed,"SSIR 26 (Rutgers): 0-1 bar and Ks on saturated 3-inch cores, 2-15 bar crushed",Series not designated,Gloucester,B3t,True,17
