layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,n_points,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m,sample_type,sample_type_source
sDB_P_4_4,sDB_P_4,sand,0.1577174428287876,2.625525961151922,0.0231000009999999,0.3522517202120053,96.8,3.2,0.0,,60.0,0.0019018767889972,9,0.0231000009999971,0.3518445741064427,0.1668847409396172,2.774367440352247,0.5556065018800812,0.0017783676888597,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_4_5,sDB_P_4,sand,0.1766504007278235,2.2650309198777094,0.0272000009999999,0.3460800872672639,94.8,2.6999999999999997,2.4999999999999996,1.4708333333333332,60.0,0.0078866139376597,18,0.0262170357059838,0.3444154876255484,0.2202633912814594,2.8826335582985094,0.367999636057549,0.0075197739258864,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_5_0,sDB_P_5,sand,0.2314059467948067,2.1309002599404447,0.0325000009999969,0.4047568878068779,87.4,10.1,2.5000000000000004,6.823333333333333,15.0,0.0051522459910627,9,0.0325000009999999,0.404733163429568,0.2319826658513868,2.1356468629914596,0.5286572099580362,0.00515218735566,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_5_1,sDB_P_5,loamy sand,0.2367261036423706,2.0446789987471634,0.0693000009999793,0.4322989320477631,85.2,11.3,3.5,8.926666666666668,15.0,0.0176219508439845,36,0.0663679505280499,0.427026142082286,0.400084062249142,10.999999999999003,0.0673645896843773,0.0162304206402864,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_6_0,sDB_P_6,sand,0.3539885253560331,1.5312444646138474,0.0401692219450529,0.4139565924261162,89.1,8.4,2.5,,15.0,0.0100458351415013,18,0.0402596748032896,0.4140115717215766,0.3526847939327496,1.5262528483916689,0.3487967787071516,0.0100457928211027,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_7_0,sDB_P_7,silt loam,0.1743683123159042,1.3164932271258143,0.046325176387243,0.4212138101313444,19.1,69.4,11.5,0.1620833333333333,15.0,0.0148108943535121,18,0.0708687171722129,0.4252468308674798,0.1055436141453609,1.010000004525152,0.4212115431296681,0.014612897651056,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_8_0,sDB_P_8,silt loam,0.1180330037368831,1.3890709135524917,0.0605457976350475,0.4122706713655963,17.6,71.4,11.0,0.3158333333333333,15.0,0.0105845526739774,18,0.0864273775024316,0.4162177492870423,0.0559878758548897,1.0100000262365465,0.5961445538784174,0.0100597242671788,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_8_2,sDB_P_8,silt loam,0.1168590018148484,1.323297380545524,0.0409903846848724,0.4153667459611658,16.5,71.5,12.0,0.7004166666666666,15.0,0.0094964705741345,9,0.0409083838100508,0.4153594600999706,0.1169949755239547,1.3242975451104253,0.2439360628823421,0.0094964696488991,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_8_4,sDB_P_8,silt loam,0.221466446189041,1.253898879761962,1.94437027457508e-13,0.3982166701023823,18.2,68.8,13.0,9.060416666666669,60.0,0.0141310910532439,18,1.826276366428168e-12,0.4023879032254451,0.1807840412701242,1.010000000000005,0.267234876643755,0.0133163965280801,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_8_5,sDB_P_8,silt loam,0.1344375244219598,1.142247224197006,2.7680986907719197e-17,0.40025657370191,8.0,68.0,24.0,5.941666666666666,60.0,0.0149390852000824,18,1.2351828400292495e-25,0.4009925674081824,0.1103595161078684,1.01,0.1487817014540019,0.014356751634094,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_0,sDB_P_9,silt loam,0.0485128707807074,1.363670275668107,0.0122686186677863,0.3924921186502659,25.0,65.0,10.0,18.404166666666665,15.0,0.0152372986411526,36,0.0777572580988947,0.3939566618361669,0.0124278074619692,1.01,0.9799999999999962,0.0129939472524883,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_1,sDB_P_9,silt loam,0.1041347958243515,1.356388757177627,0.0255915716767411,0.3930809127543745,25.200000000000003,63.8,11.0,3.7070833333333337,15.0,0.0111552008564459,18,0.0562113970246387,0.396508930206813,0.0512540182394259,1.010000900144415,0.5420787852377692,0.0107785290896795,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_2,sDB_P_9,silt loam,0.0748596051577328,1.5500089953498062,0.0481489714826123,0.416778257962171,22.5,65.5,12.0,0.2716666666666666,60.0,0.0127101175470905,18,0.0689884109404513,0.4235068211618432,0.0265700081443595,1.0103281941307318,0.98,0.010108937890112,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_3,sDB_P_9,silt loam,0.0442168648131806,1.6327928871171395,0.0806541783764872,0.4095475883459249,24.2,61.8,14.0,6.5,60.0,0.0170512512423468,22,0.0941000009999992,0.4148372471619668,0.0176677883763669,1.0915482837806076,0.98,0.0142611026010351,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_4,sDB_P_9,silt loam,0.0279941142135272,1.6208832275199438,0.0410489228601279,0.3945964382255054,20.8,67.7,11.5,5.2124999999999995,60.0,0.014624247693456,18,0.0644371320520439,0.3985345493232535,0.0116841332876798,1.1594664321569987,0.98,0.0119816300466233,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_9_5,sDB_P_9,silt loam,0.0379574802588629,1.3668901094950938,0.0345309084764137,0.4058661779678724,24.4,58.6,17.0,5.110833333333333,60.0,0.016591771490698,30,0.1009087061939865,0.4078217546419727,0.0100454896631472,1.01,0.9799999999999988,0.0144091552315432,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_10_0,sDB_P_10,loamy sand,0.2160312840575693,1.9983798008109444,0.0646000009999985,0.4275318440468365,85.5,12.0,2.5,4.073333333333333,15.0,0.0256619853644014,18,0.0646000009999999,0.4227005547195132,0.3312048710204031,4.204424753573171,0.1816568081968029,0.0249835846447695,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_10_1,sDB_P_10,loamy sand,0.2106961055882482,1.3094864134970234,0.0127845929078345,0.516669161527381,82.2,15.3,2.5,22.74875,15.0,0.0209066524907301,9,1.7731874538727737e-30,0.5073366253979565,0.3438916815486681,8.028292569910073,0.0312375841589145,0.0189703321459678,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_10_2,sDB_P_10,sand,0.2274125727017966,2.138460752166381,0.0252000009999999,0.4273653936488863,89.62075848303394,7.385229540918163,2.994011976047904,13.212916666666668,60.0,0.0197551241658686,18,0.0252000009999999,0.4215957944460728,0.3849966743419742,10.999999998566851,0.0728301863156667,0.0165338253956057,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
sDB_P_10_3,sDB_P_10,sand,0.2313329832640754,2.881621218544441,0.0267000009999999,0.4151237972465973,91.7,5.8,2.5,15.075833333333334,60.0,0.0123604935342726,18,0.0267000009999999,0.4163289226939864,0.1816775239457064,2.4083664800065936,0.9799999999907272,0.012245939258471,undisturbed,sDB: the same Belgian horizons GSHP labels undisturbed (Belgium_database)
