layer_id,volcanic,andic,volcanic_evidence,p_andosols,wrb,km_any,volcano_any,km_holocene,volcano_holocene
KSSL_203206,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,91.6,Potrillo Volcanic Field,149.8,Carrizozo
KSSL_15745496,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,206.9,Mammoth Mountain,206.9,Mammoth Mountain
KSSL_15921962,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,939.4,McCoy,981.3,Dotsero
KSSL_15745812,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,814.0,Raton-Clayton,1024.2,Dotsero
KSSL_15930226,unlikely,no,KSSL taxonomy not andic,,,,,,
KSSL_123753,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1433.5,McCoy,1475.1,Dotsero
KSSL_15741187,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,669.0,Raton-Clayton,782.6,Dotsero
KSSL_15741190,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,670.4,Raton-Clayton,788.0,Dotsero
KSSL_15746061,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,885.4,Raton-Clayton,1035.3,Dotsero
KSSL_15930223,unlikely,no,KSSL taxonomy not andic,,,,,,
KSSL_15742236,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,693.8,Raton-Clayton,848.6,Dotsero
KSSL_15745500,unlikely,no,KSSL taxonomy not andic,1.0,Regosols,205.2,Mammoth Mountain,205.2,Mammoth Mountain
KSSL_170692,unlikely,no,KSSL taxonomy not andic,2.0,Acrisols,43.2,Boring Lava,101.0,West Crater
KSSL_15746547,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,118.8,Taos Plateau,244.3,Dotsero
KSSL_15924928,unlikely,no,KSSL taxonomy not andic,,,,,,
KSSL_15951760,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,316.3,Raton-Clayton,471.8,Dotsero
KSSL_184577,known,yes,KSSL Andisol; KSSL andic lab criteria; SoilGrids Andosols; volcano <= 100 km + SoilGrids >= 5 %,26.0,Andosols,39.7,Kamaehuakanaloa,39.7,Kamaehuakanaloa
KSSL_183849,unlikely,no,KSSL taxonomy not andic,0.0,Acrisols,1163.4,Sao Tome,1204.0,"Basile, Pico"
KSSL_170720,unlikely,no,KSSL taxonomy not andic,2.0,Luvisols,46.2,Boring Lava,96.6,West Crater
KSSL_15748393,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,824.9,Raton-Clayton,894.0,Dotsero
KSSL_208981,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,825.9,McCoy,869.4,Dotsero
KSSL_15742245,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,579.6,Raton-Clayton,714.4,Dotsero
KSSL_183853,unlikely,no,KSSL taxonomy not andic,1.0,Acrisols,1035.7,Sao Tome,1089.3,"Basile, Pico"
KSSL_121616,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,1841.5,Raton-Clayton,2009.6,Dotsero
KSSL_118700,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,116.9,Huitepec,129.3,"Chichon, El"
KSSL_178325,unlikely,unknown,,1.0,Luvisols,1261.8,Raton-Clayton,1487.5,Carrizozo
KSSL_176742,unlikely,unknown,,0.0,Chernozems,1167.5,Yellowstone,1243.4,Dotsero
KSSL_15745563,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,359.3,Raton-Clayton,541.9,Dotsero
KSSL_208965,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,987.0,McCoy,1030.4,Dotsero
KSSL_183845,unlikely,no,KSSL taxonomy not andic,0.0,Acrisols,1163.4,Sao Tome,1204.0,"Basile, Pico"
KSSL_201848,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,239.0,Jordan Craters,239.0,Jordan Craters
KSSL_110092,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1328.4,McCoy,1370.7,Dotsero
KSSL_118977,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,142.8,Geronimo,289.3,Pinacate
KSSL_212870,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,847.7,Raton-Clayton,964.3,Dotsero
KSSL_110093,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1328.4,McCoy,1370.7,Dotsero
KSSL_146281,unknown,unknown,,,,,,,
KSSL_161994,known,yes,KSSL andic subgroup,4.0,Chernozems,63.1,Mountain Home-Kuna Lava Field,129.2,Jordan Craters
KSSL_15742250,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,579.6,Raton-Clayton,714.4,Dotsero
KSSL_15741149,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,656.2,Raton-Clayton,904.0,Dotsero
KSSL_15921966,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,939.4,McCoy,981.3,Dotsero
KSSL_118690,unlikely,no,KSSL taxonomy not andic,1.0,Luvisols,145.9,Huitepec,155.8,"Chichon, El"
KSSL_96837,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,409.8,Raton-Clayton,509.6,Dotsero
KSSL_194696,unlikely,no,KSSL taxonomy not andic,0.0,Gypsisols,116.3,Uinkaret Field,116.3,Uinkaret Field
KSSL_118987,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,107.4,Geronimo,298.2,Red Hill-Quemado
KSSL_15745483,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,200.4,Mammoth Mountain,200.4,Mammoth Mountain
KSSL_170676,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,46.1,Boring Lava,98.0,West Crater
KSSL_108707,unlikely,no,KSSL taxonomy not andic,,,52.0,Mineral Mountains-Cove Fort,80.5,Black Rock Desert
KSSL_124768,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,813.3,Camargo Volcanic Field,864.8,Carrizozo
KSSL_118964,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,109.4,Geronimo,299.3,Red Hill-Quemado
KSSL_180168,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,550.7,Raton-Clayton,776.3,Dotsero
KSSL_15924829,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,151.8,Buffalo Valley,304.5,Soda Lakes
KSSL_121266,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,70.5,Carrizozo,70.5,Carrizozo
KSSL_121269,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,70.5,Carrizozo,70.5,Carrizozo
KSSL_15924754,known,yes,KSSL Andisol; KSSL andic subgroup; KSSL andic lab criteria; SoilGrids Andosols,23.0,Cambisols,361.4,Simcoe,380.8,Glacier Peak
KSSL_203204,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,89.1,Potrillo Volcanic Field,151.1,Carrizozo
KSSL_15946989,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,349.3,Leucite Hills,446.3,Dotsero
KSSL_118726,unlikely,no,KSSL taxonomy not andic,1.0,Cambisols,71.1,"Chichon, El",71.1,"Chichon, El"
KSSL_176690,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,1085.9,Raton-Clayton,1148.3,Dotsero
KSSL_96827,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,534.7,Raton-Clayton,699.6,Dotsero
KSSL_15741150,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,656.2,Raton-Clayton,904.0,Dotsero
KSSL_118958,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,107.4,Geronimo,298.2,Red Hill-Quemado
KSSL_170704,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,50.7,Boring Lava,103.3,West Crater
KSSL_15748392,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,829.4,Raton-Clayton,899.9,Dotsero
KSSL_15924940,known,yes,KSSL andic subgroup,,,,,,
KSSL_15938386,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,114.6,Lunar Crater,207.7,Black Rock Desert
KSSL_203213,unlikely,no,KSSL taxonomy not andic,0.0,Gypsisols,108.8,Jornada del Muerto,118.4,Carrizozo
KSSL_15930221,unlikely,no,KSSL taxonomy not andic,,,,,,
KSSL_201048,unlikely,no,KSSL taxonomy not andic; SoilGrids Andosols,21.0,Phaeozems,199.5,Sinker Butte,207.5,Jordan Craters
KSSL_110052,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1376.1,McCoy,1418.7,Dotsero
KSSL_15938377,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,177.8,Jackies Butte,214.5,Jordan Craters
KSSL_15938343,unlikely,no,KSSL taxonomy not andic; Holocene volcano <= 25 km,0.0,Chernozems,20.4,Markagunt Plateau,20.4,Markagunt Plateau
KSSL_124763,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,215.5,Raton-Clayton,291.1,Carrizozo
KSSL_170741,unlikely,no,KSSL taxonomy not andic,3.0,Luvisols,41.4,Boring Lava,99.4,West Crater
KSSL_15946992,unlikely,no,KSSL taxonomy not andic,0.0,Regosols,349.6,Leucite Hills,446.7,Dotsero
KSSL_15741186,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,669.0,Raton-Clayton,782.6,Dotsero
KSSL_15745571,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,438.5,Raton-Clayton,605.7,Dotsero
KSSL_123746,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1412.4,McCoy,1454.2,Dotsero
KSSL_15742243,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,628.8,Raton-Clayton,754.8,Dotsero
KSSL_203184,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,91.2,Potrillo Volcanic Field,150.9,Carrizozo
KSSL_121490,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,793.2,Aldama Volcanic Field,1024.5,Carrizozo
KSSL_15745491,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,206.9,Mammoth Mountain,206.9,Mammoth Mountain
KSSL_212034,unlikely,no,KSSL taxonomy not andic; Holocene volcano <= 25 km,1.0,Kastanozems,10.7,San Francisco Volcanic Field,10.7,San Francisco Volcanic Field
KSSL_118998,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,108.1,Geronimo,297.9,Red Hill-Quemado
KSSL_146267,unknown,unknown,,,,,,,
KSSL_108739,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,102.8,Mineral Mountains-Cove Fort,110.2,Black Rock Desert
KSSL_15745562,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,359.3,Raton-Clayton,541.9,Dotsero
KSSL_161993,known,yes,KSSL andic subgroup,4.0,Chernozems,63.1,Mountain Home-Kuna Lava Field,129.2,Jordan Craters
KSSL_121234,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,549.3,McCoy,593.0,Dotsero
KSSL_15745476,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,202.7,Mammoth Mountain,202.7,Mammoth Mountain
KSSL_121724,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,37.9,Mineral Mountains-Cove Fort,81.2,Black Rock Desert
KSSL_146270,unknown,unknown,,,,,,,
KSSL_15830002,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,649.1,Raton-Clayton,784.0,Dotsero
KSSL_15929767,unlikely,no,KSSL taxonomy not andic; volcano <= 100 km + SoilGrids >= 5 %,5.0,Kastanozems,51.5,Hackamore,81.0,Medicine Lake
KSSL_15745475,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,202.7,Mammoth Mountain,202.7,Mammoth Mountain
KSSL_15924946,unlikely,no,KSSL taxonomy not andic,0.0,Regosols,179.6,Golden Trout Creek,283.9,Mammoth Mountain
KSSL_194699,unlikely,no,KSSL taxonomy not andic,0.0,Gypsisols,116.3,Uinkaret Field,116.3,Uinkaret Field
KSSL_15741131,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,849.0,Raton-Clayton,1057.2,Dotsero
KSSL_15938365,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,195.2,Buffalo Valley,217.0,Black Butte Crater Lava Field
KSSL_15929250,known,yes,KSSL andic subgroup,,,,,,
KSSL_197857,unlikely,no,KSSL taxonomy not andic,0.0,Acrisols,2403.7,"Vigie, Morne la",2661.6,Dotsero
KSSL_96824,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,534.7,Raton-Clayton,699.6,Dotsero
KSSL_197865,unlikely,no,KSSL taxonomy not andic,1.0,Lixisols,2371.6,"Vigie, Morne la",2644.9,Dotsero
KSSL_124762,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,215.5,Raton-Clayton,291.1,Carrizozo
KSSL_208979,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,826.0,McCoy,869.5,Dotsero
KSSL_123750,unlikely,no,KSSL taxonomy not andic,0.0,Albeluvisols,1433.5,McCoy,1475.1,Dotsero
KSSL_15938353,unlikely,no,KSSL taxonomy not andic,0.0,Fluvisols,91.0,Black Rock Desert,91.0,Black Rock Desert
KSSL_203229,unlikely,no,KSSL taxonomy not andic,0.0,Gypsisols,99.0,Jornada del Muerto,100.1,Carrizozo
KSSL_170729,unlikely,no,KSSL taxonomy not andic,1.0,Luvisols,41.7,Boring Lava,98.9,West Crater
KSSL_176739,unlikely,unknown,,0.0,Chernozems,1167.5,Yellowstone,1243.4,Dotsero
KSSL_15742249,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,579.6,Raton-Clayton,714.4,Dotsero
KSSL_15745815,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,814.0,Raton-Clayton,1024.2,Dotsero
KSSL_198479,unlikely,no,KSSL taxonomy not andic,0.0,Cambisols,88.5,McCoy,106.0,Dotsero
KSSL_178321,unlikely,unknown,,0.0,Luvisols,998.4,Raton-Clayton,1136.2,Dotsero
KSSL_15938357,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,188.2,Black Butte Crater Lava Field,188.2,Black Butte Crater Lava Field
KSSL_119005,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,106.1,Geronimo,296.7,Red Hill-Quemado
KSSL_123724,unlikely,no,KSSL taxonomy not andic,0.0,Podzols,1450.7,McCoy,1492.6,Dotsero
KSSL_15745481,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,200.4,Mammoth Mountain,200.4,Mammoth Mountain
KSSL_118516,unknown,unknown,,,,,,,
KSSL_170756,unlikely,no,KSSL taxonomy not andic,2.0,Acrisols,57.8,Boring Lava,113.2,Jefferson
KSSL_15938364,unlikely,no,KSSL taxonomy not andic,1.0,Chernozems,195.2,Buffalo Valley,217.0,Black Butte Crater Lava Field
KSSL_146282,unknown,unknown,,,,,,,
KSSL_15746063,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,885.4,Raton-Clayton,1035.3,Dotsero
KSSL_90859,unlikely,no,KSSL taxonomy not andic,0.0,Cambisols,56.0,Crater Flat,131.5,Ubehebe Craters
KSSL_208975,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,826.0,McCoy,869.5,Dotsero
KSSL_208332,unlikely,no,KSSL taxonomy not andic,12.0,Cambisols,116.4,Drum,125.1,Wrangell
KSSL_15746059,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,885.4,Raton-Clayton,1035.3,Dotsero
KSSL_170686,unlikely,no,KSSL taxonomy not andic,2.0,Acrisols,40.3,Boring Lava,93.3,West Crater
KSSL_15745486,unlikely,no,KSSL taxonomy not andic,1.0,Kastanozems,200.4,Mammoth Mountain,200.4,Mammoth Mountain
KSSL_15929251,known,yes,KSSL andic subgroup,,,,,,
KSSL_15921956,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,939.4,McCoy,981.3,Dotsero
KSSL_170707,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,50.7,Boring Lava,103.3,West Crater
KSSL_178550,unlikely,unknown,,1.0,Phaeozems,954.2,McCoy,993.3,Dotsero
KSSL_170673,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,46.1,Boring Lava,98.0,West Crater
KSSL_197858,unlikely,no,KSSL taxonomy not andic,0.0,Acrisols,2403.7,"Vigie, Morne la",2661.6,Dotsero
KSSL_170688,unlikely,no,KSSL taxonomy not andic,2.0,Acrisols,40.3,Boring Lava,93.3,West Crater
KSSL_15741194,unlikely,no,KSSL taxonomy not andic,0.0,Kastanozems,670.4,Raton-Clayton,788.0,Dotsero
KSSL_194710,unlikely,no,KSSL taxonomy not andic,0.0,Solonchaks,86.8,Santa Clara,108.5,Uinkaret Field
KSSL_170737,unlikely,no,KSSL taxonomy not andic,3.0,Luvisols,41.4,Boring Lava,99.4,West Crater
KSSL_15745490,unlikely,no,KSSL taxonomy not andic,0.0,Luvisols,206.9,Mammoth Mountain,206.9,Mammoth Mountain
KSSL_198495,known,yes,KSSL andic subgroup,5.0,Cambisols,104.0,Mountain Home-Kuna Lava Field,130.2,Black Butte Crater Lava Field
KSSL_15748401,unlikely,no,KSSL taxonomy not andic,0.0,Phaeozems,824.8,Raton-Clayton,894.0,Dotsero
KSSL_118983,unlikely,no,KSSL taxonomy not andic,0.0,Calcisols,111.4,Geronimo,300.5,Red Hill-Quemado
KSSL_118506,unlikely,no,KSSL taxonomy not andic,0.0,Chernozems,1203.9,McCoy,1247.0,Dotsero
