layer_id,profile_id,texture_class,alpha_kpa,n,thetar,thetas,sand,silt,clay,ksat_cmh,depth_cm,rmse,sample_type,sample_type_source,thetar_m,thetas_m,alpha_kpa_m,n_m,m,rmse_m
UNSODA_1010,UNSODA_P101,loamy sand,0.2807914519426291,2.336203248124778,0.0690000009999994,0.3703300171165841,83.0,14.000000000000002,3.0,7.129166666666666,12.0,0.0120089774635264,undisturbed,UNSODA lab comment: undisturbed samples,0.0690000009999999,0.3640239706670997,0.3417161178185059,3.3251310991467085,0.346656656841083,0.0116212591274608
UNSODA_1011,UNSODA_P101,loamy sand,0.2977550399999048,2.848546080451305,0.0573000009999999,0.4038802118029133,82.5,14.499999999999998,3.0,12.916666666666666,41.0,0.0143634209764136,undisturbed,UNSODA lab comment: undisturbed samples,0.0573000009999999,0.3935924984228252,0.3997207569758376,5.926470666710817,0.228000081017758,0.0118064734914321
UNSODA_1012,UNSODA_P101,loamy sand,0.3158867241390962,2.613976554408468,0.0479000009999999,0.3748266402319131,82.5,15.0,2.5,8.625,75.0,0.014169064401843,undisturbed,UNSODA lab comment: undisturbed samples,0.0479000009999999,0.364262004718084,0.4210548086321518,5.320442419154731,0.2308463339592047,0.0121859452150895
UNSODA_1013,UNSODA_P101,loamy sand,0.350489017010424,2.509807925522308,0.0314000009999999,0.37494625444816,85.0,13.0,2.0,6.708333333333333,107.5,0.0102766375059062,undisturbed,UNSODA lab comment: undisturbed samples,0.0314000009999999,0.3636061048503925,0.4775775286825863,5.65965178838943,0.1993003682426075,0.0074459084008074
UNSODA_1014,UNSODA_P101,sand,0.3222328287605208,2.6281200435131034,0.0265000009999999,0.3671864491276275,87.0,11.0,2.0,8.291666666666666,128.5,0.0079591716644785,undisturbed,UNSODA lab comment: undisturbed samples,0.0265000009999999,0.360102603230302,0.4271763548158402,4.5294093337882515,0.2722861898264037,0.0048654985073403
UNSODA_1015,UNSODA_P101,loamy sand,0.3832586864207385,1.5986821080874898,0.1042227324986313,0.2632998606182024,82.0,12.0,6.0,2.5166666666666666,144.0,0.0030782620021651,undisturbed,UNSODA lab comment: undisturbed samples,0.0893245743572613,0.2626051424293689,0.557538126122383,2.2323705539894725,0.1894272285699873,0.0028879300656112
UNSODA_1020,UNSODA_P102,sand,0.5993533900419312,2.271154393691911,0.0955000009999913,0.4037624955673093,90.0,5.500000000000001,4.5,,11.5,0.0092354643644549,undisturbed,UNSODA lab comment: undisturbed samples,0.0955000009999999,0.4081589306544957,0.4901882036874079,1.8566501613406667,0.7858604797164266,0.0090155488051907
UNSODA_1021,UNSODA_P102,sand,1.0541998608953376,1.86920245833571,0.0693234570037708,0.3646481216889454,89.0,5.0,6.0,,32.0,0.0056713125363025,undisturbed,UNSODA lab comment: undisturbed samples,0.0607020614694641,0.3620994502900886,1.453256130038181,2.6724573110049876,0.2537690077612708,0.0051632316807412
UNSODA_1022,UNSODA_P102,sand,1.1647354208637608,1.8768629055472223,0.0513753047136597,0.3666173221783466,89.3,6.4,4.3,,61.0,0.0055220983743075,undisturbed,UNSODA lab comment: undisturbed samples,0.0447843706285244,0.3642877412800003,1.526720014107096,2.533726915584992,0.28338159423261,0.0050513071523221
UNSODA_1023,UNSODA_P102,sand,1.386416983300071,1.901770759502734,0.0390000009999999,0.3406792928398235,94.0,4.0,2.0,,93.5,0.0080103849292612,undisturbed,UNSODA lab comment: undisturbed samples,0.0140085037040185,0.3350849679894771,2.4583370297084124,10.999999374827132,0.0497229106437506,0.0026657989192419
UNSODA_1024,UNSODA_P102,sand,1.2085417848191091,2.022153923879664,0.0430000009999999,0.3197361983431122,95.0,3.0000000000000004,2.0,,115.5,0.0050442525612801,undisturbed,UNSODA lab comment: undisturbed samples,0.0339159551151026,0.3157850133857981,1.7281758325558476,3.368468332704847,0.2244294659552632,0.003082530373437
UNSODA_1030,UNSODA_P103,loamy sand,0.309544175941245,1.7938174428015836,0.0400000009999999,0.3878979943729198,79.0,13.7,7.3,,7.5,0.0180311494349386,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0400000009999999,0.3628979187050989,0.415356291991827,10.999999997952573,0.0579643973857387,0.0121921288758959
UNSODA_1031,UNSODA_P103,loamy sand,0.2790857314247433,1.823160144491702,0.0400000009999999,0.362366521807934,79.0,13.2,7.8,,28.0,0.0158199168397394,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0400000009999999,0.341042065852106,0.3912278967085254,10.999999999998977,0.0582327982301851,0.0092387016183936
UNSODA_1032,UNSODA_P103,loamy sand,0.3023154125019777,1.7023877647246166,0.0363000009999999,0.362703659563147,80.0,12.2,7.8,,56.0,0.0117784060441403,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0293990987644794,0.3461793303809659,0.438487466075406,5.762980127510456,0.0917111368892016,0.0074886668574184
UNSODA_1041,UNSODA_P104,sand,0.2530053974788292,3.84610438779768,0.0633000009999999,0.3265560803106349,93.0,5.0,2.0,22.620833333333337,44.5,0.0034741062106559,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0633000009999999,0.3218684267713675,0.2909008992083142,5.023160499528834,0.4596651337839407,0.0021800010724336
UNSODA_1042,UNSODA_P104,sand,0.2524050852656674,4.026349297628555,0.0526000009999999,0.3348259451454723,96.0,1.0000000000000002,3.0,27.758333333333336,99.0,0.0030576987394371,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0526000009999999,0.3304049261972087,0.2872237873871931,5.14460815136623,0.4801118469019541,0.0015167678117645
UNSODA_1043,UNSODA_P104,sand,0.2269908151428883,4.489369558647763,0.0398000009999999,0.3146972453800359,93.0,4.000000000000001,3.0,28.829166666666666,154.5,0.0038860193651838,undisturbed,"UNSODA lab comment: undisturbed cores for the wet end, disturbed material for the dry end",0.0398000009999999,0.3097743877189789,0.2622467180132638,6.260729510416348,0.4320806557104188,0.002429843380062
UNSODA_1050,UNSODA_P105,sand,0.4394996742233997,3.1229592350886044,0.0659000009999999,0.3681973627294088,92.2,4.6,3.2,29.5,10.0,0.0081485587786765,undisturbed,UNSODA lab comment: undisturbed samples,0.0659000009999999,0.3637983550613184,0.5349815291526149,4.913811290457431,0.3501884681292936,0.0075907953305379
UNSODA_1051,UNSODA_P105,loamy sand,0.6246805361505524,2.885977610112098,0.0659000009999992,0.374363989022029,87.1,4.7,8.200000000000001,30.916666666666668,35.5,0.0083153385654313,undisturbed,UNSODA lab comment: undisturbed samples,0.0659000009999999,0.3774744987137631,0.5058298267335235,2.3735964054414556,0.979999996889926,0.0080912858120172
UNSODA_1052,UNSODA_P105,sand,0.7035537997184298,3.1345834645335016,0.0567000009999999,0.3534319715030659,90.9,2.5999999999999996,6.5,46.541666666666664,74.0,0.008304898644843,undisturbed,UNSODA lab comment: undisturbed samples,0.0567000009999999,0.3480904889899661,0.9425755622124417,6.328907327838639,0.2486647472324739,0.0067898287153651
UNSODA_1053,UNSODA_P105,sand,0.7173555828776746,3.418102165070154,0.0341000009999999,0.3419487627995412,95.1,1.2000000000000004,3.7,116.0,109.5,0.0108379705186672,undisturbed,UNSODA lab comment: undisturbed samples,0.0341000009999999,0.3398958383394725,0.8016069517130412,4.118300625444977,0.5177696027706753,0.0107585930283559
UNSODA_1054,UNSODA_P105,sand,0.7452432424589042,3.997671587964293,0.0248000009999999,0.3484586106781731,97.2,0.2999999999999999,2.5,174.0,137.0,0.0094167705267938,undisturbed,UNSODA lab comment: undisturbed samples,0.0248000009999999,0.3453673616905008,1.0326198994658895,9.7435362340048,0.2020177795050545,0.0084523605875329
UNSODA_1060,UNSODA_P106,sand,0.4095730539472827,3.167308181956936,0.0590000009999999,0.3549740112728966,93.0,5.0,2.0,35.5,10.0,0.0072622245618223,undisturbed,UNSODA lab comment: undisturbed samples,0.0590000009999999,0.3494325813829431,0.5516346758002869,8.258773417012328,0.1875140243547979,0.0048167667642747
UNSODA_1061,UNSODA_P106,sand,0.4612327302999192,3.3350359362793576,0.0455000009999999,0.3384162747575978,91.0,5.0,4.0,29.083333333333332,29.0,0.0083809731474704,undisturbed,UNSODA lab comment: undisturbed samples,0.0455000009999999,0.3322643263222112,0.5992342827027072,10.999999999915133,0.157836520247155,0.0068094853126908
UNSODA_1062,UNSODA_P106,loamy sand,0.4899897381004114,3.049429519927756,0.0659000009999996,0.3295152898614519,88.0,4.999999999999999,7.000000000000001,43.458333333333336,57.0,0.0053746414468865,undisturbed,UNSODA lab comment: undisturbed samples,0.0659000009999999,0.3279321256757604,0.5357357192981045,3.5363679836896376,0.5293948182055788,0.0052729496507226
UNSODA_1063,UNSODA_P106,sand,0.510877353921484,3.256695558540768,0.0401000009999999,0.3547464120900885,93.0,3.0000000000000004,4.0,68.91666666666667,114.0,0.0083422313952177,undisturbed,UNSODA lab comment: undisturbed samples,0.0401000009999999,0.3527011961562803,0.5598972134592847,3.836560239574758,0.532092214835047,0.0082340006420823
UNSODA_1070,UNSODA_P107,sand,0.5981923679181913,2.5273273753826393,0.0747377354472079,0.4505221641393686,92.8,4.99999999999999,2.1999999999999997,100.0,7.5,0.0055212796292827,undisturbed,UNSODA lab comment: undisturbed samples,0.0751000009999999,0.4511818137626674,0.5788502887253059,2.439320770533837,0.64492200514614,0.0055075130513136
UNSODA_1071,UNSODA_P107,sand,0.5003964025222195,2.8616800893574617,0.0558000009999999,0.3055072907888129,91.8,3.5000000000000004,4.7,19.791666666666668,22.5,0.0054492716131888,undisturbed,UNSODA lab comment: undisturbed samples,0.0558000009999999,0.3032041003451279,0.5594951047457521,3.4982348983582083,0.4786761044688369,0.005241887154019
UNSODA_1072,UNSODA_P107,sand,0.6251709306380143,2.6718898095860952,0.0496000009999999,0.3184327443907062,92.5,2.1999999999999997,5.3,58.208333333333336,50.5,0.0043751073589349,undisturbed,UNSODA lab comment: undisturbed samples,0.0496000009999999,0.3191658622504372,0.5988040048636639,2.5366545168562853,0.6837409083537882,0.0043547837890771
UNSODA_1073,UNSODA_P107,sand,0.6680929877128825,2.9163825178718374,0.0300000009999979,0.3114021147996479,96.4,0.5999999999999999,3.0,86.91666666666667,81.0,0.005652784889326,undisturbed,UNSODA lab comment: undisturbed samples,0.0300000009999999,0.3104500653981626,0.7041288925738622,3.1459060264510557,0.5798916207164554,0.0056248438048767
UNSODA_1074,UNSODA_P107,sand,0.9183161322787758,2.5785029427736355,0.0241000009999999,0.3525493096560569,97.3,0.1999999999999998,2.5,153.0,101.5,0.0042349198057378,undisturbed,UNSODA lab comment: undisturbed samples,0.0241000009999999,0.3566093353703068,0.7447610830192389,2.091131589260442,0.8867797242883179,0.0036963816553028
UNSODA_1075,UNSODA_P107,sand,0.8535908407658497,2.5857955694760753,0.0494000009999918,0.3517099784308876,94.1,0.5999999999999999,5.3,117.0,131.0,0.0075767057156606,undisturbed,UNSODA lab comment: undisturbed samples,0.0494000009999999,0.3574411812067896,0.6551454190155306,1.9768933518951637,0.98,0.0066473125330755
UNSODA_1090,UNSODA_P109,loamy sand,0.5200802784160695,1.5308392245882791,0.0435922534995335,0.3769628064205906,78.5,16.499999999999996,5.0,3.6,12.5,0.0090775099277832,undisturbed,UNSODA lab comment: undisturbed samples,0.0341784612781216,0.3663652430644141,0.6941994343018941,3.1679861773963864,0.1373575229769392,0.0077668605344193
UNSODA_1091,UNSODA_P109,sandy loam,0.7401663101468509,1.2847386727949546,0.0660823639750758,0.3043980550183736,67.0,17.0,16.0,3.1208333333333336,38.0,0.0039586245013398,undisturbed,UNSODA lab comment: undisturbed samples,0.0566733351565131,0.3012431032146812,0.9121836794070212,1.7665396100073958,0.1395233817497543,0.0037650904370767
UNSODA_1092,UNSODA_P109,sandy clay loam,0.2951205070687247,1.085649008283632,1.1162916159919375e-16,0.3529545927464795,57.49999999999999,14.499999999999996,28.000000000000004,0.2304166666666667,74.0,0.0044465816622683,undisturbed,UNSODA lab comment: undisturbed samples,1.493098626220215e-18,0.353607306764571,0.2783610293330365,1.01,0.0864058708774231,0.0042000528495923
UNSODA_1100,UNSODA_P110,sand,0.3657812882294459,2.959408953969728,0.0810000009999999,0.3036740575662242,88.8,5.9,5.3,,13.5,0.0091798052681875,undisturbed,UNSODA lab comment: cores sampled in the field,0.0810000009999999,0.2991493916156217,0.5618724015321833,10.999999998454207,0.113825122784943,0.0045253882289301
UNSODA_1101,UNSODA_P110,sandy loam,0.8670251166735632,1.5801756722799645,0.0925906026135081,0.2455220636834135,80.3,8.3,11.4,,32.5,0.0060000558242357,undisturbed,UNSODA lab comment: cores sampled in the field,0.0779220793952973,0.2445161670651053,1.5343185622712818,10.976681805329376,0.0344619331322367,0.0055582186742002
UNSODA_1102,UNSODA_P110,sandy clay loam,1.6219060945565544,1.2972887363375267,0.1217463808092439,0.3467433515185977,69.7,7.999999999999999,22.3,,45.5,0.005168905024902,undisturbed,UNSODA lab comment: cores sampled in the field,0.143669203840402,0.3465434126806774,0.8775296636636017,1.01,0.4327843375573504,0.0049889357444572
UNSODA_1103,UNSODA_P110,sandy clay loam,0.8545554165485295,1.6195767022713796,0.2319349085508225,0.4103182483279491,65.2,5.699999999999999,29.1,,80.0,0.0038756430198462,undisturbed,UNSODA lab comment: cores sampled in the field,0.2162117482684852,0.409009111875406,1.5037706987040491,10.91238825485563,0.037123244991044,0.0028526562457543
UNSODA_1104,UNSODA_P110,sandy clay loam,1.4510123213704955,1.1577254826068435,0.1325492479167928,0.3839179600581153,68.10000000000001,2.200000000000002,29.7,,129.5,0.0047968946584499,undisturbed,UNSODA lab comment: cores sampled in the field,0.0057310851196877,0.3834729496523816,2.523872653026638,4.054835482433716,0.0200000000000234,0.0045692766269926
UNSODA_1110,UNSODA_P111,sand,0.234509568489371,2.8092339337091987,0.0849000009999999,0.3157172408446131,88.4,10.500000000000002,1.1,,9.0,0.0126030410831054,undisturbed,UNSODA lab comment: cores sampled in the field,0.0849000009999999,0.3079700730520864,0.3020709577372224,5.479747932728173,0.2550669216627037,0.0120847603559442
UNSODA_1111,UNSODA_P111,loamy sand,0.6076453260224123,1.56774534177177,0.0531389538907258,0.2940480473358328,83.7,14.2,2.1,,25.5,0.007323653402356,undisturbed,UNSODA lab comment: cores sampled in the field,0.0700859308897372,0.2972188328052171,0.233396279712253,1.0817072968091943,0.98,0.0063642973287065
UNSODA_1112,UNSODA_P111,sandy loam,5.556084655341943,1.118402902252564,1.01518511849207e-11,0.3948162793555401,66.8,15.300000000000002,17.9,,43.0,0.0124188621260381,undisturbed,UNSODA lab comment: cores sampled in the field,3.8609355186804536e-14,0.394666763132016,5.18263318640714,1.0100000003875116,0.1187558560756785,0.0123355142163157
UNSODA_1113,UNSODA_P111,sandy clay loam,7.361014995993678,1.0850278360570933,8.863371674672581e-10,0.4442567954026546,63.2,9.399999999999997,27.4,,61.0,0.0042452736881726,undisturbed,UNSODA lab comment: cores sampled in the field,1.642107033670081e-11,0.4441837795822413,7.072131954931488,1.0100000235502966,0.0847651192642072,0.0041508298891969
UNSODA_1115,UNSODA_P111,sandy clay loam,7.492307557073727,1.0544780292618643,4.4670738365415014e-13,0.4466098361414441,55.3,13.2,31.5,,95.5,0.0060323995131118,undisturbed,UNSODA lab comment: cores sampled in the field,6.091221305569377e-18,0.446506381749404,7.245158998356248,1.01,0.0542311710674003,0.0059865604526669
UNSODA_1116,UNSODA_P111,sandy clay loam,7.087543627606522,1.05067420439627,1.1114476249182977e-16,0.3986230111456089,59.9,11.900000000000006,28.199999999999996,,122.0,0.0089323003902295,undisturbed,UNSODA lab comment: cores sampled in the field,6.23449359151134e-17,0.3984435154586247,6.767310137025656,1.0100000000000005,0.0505363940846423,0.0088958687191969
UNSODA_1117,UNSODA_P111,sandy clay loam,7.5891788767269475,1.0552164253687983,6.368029565821841e-10,0.3770158302622822,66.19999999999999,9.500000000000004,24.3,,144.5,0.0088255656514507,undisturbed,UNSODA lab comment: cores sampled in the field,4.684224328084507e-20,0.3768380522547604,7.238870075592078,1.01,0.0550766816247003,0.0087870129560641
UNSODA_1120,UNSODA_P112,sandy loam,0.1262906172474016,1.881301225478871,0.0795147218434982,0.2893989198449517,61.4,30.00000000000001,8.599999999999989,1.5791666666666666,10.5,0.0051133381166152,undisturbed,UNSODA lab comment: undisturbed samples,0.0795242861119591,0.289405552070995,0.1261786233043992,1.8798961439835271,0.469085015705745,0.0051133366994079
UNSODA_1121,UNSODA_P112,sandy loam,0.0359631452814596,1.3324935547695729,8.348764816993985e-31,0.3240552044477244,55.00000000000001,26.9,18.1,0.2970833333333333,53.5,0.012647907292762,undisturbed,UNSODA lab comment: undisturbed samples,8.443004299081354e-19,0.3272253585773243,0.0208050607638206,1.01,0.4074195699826228,0.0100956262157957
UNSODA_1122,UNSODA_P112,sandy clay loam,0.1530273034581051,1.0524630568791076,2.1505982741387542e-14,0.3599840357110439,46.5,26.6,26.9,0.1216666666666666,103.0,0.0043317593789061,undisturbed,UNSODA lab comment: undisturbed samples,2.916387131386515e-20,0.3602472936527581,0.1489331254182251,1.01,0.052438534842668,0.0042821618114115
UNSODA_1123,UNSODA_P112,clay loam,0.0797703617340542,1.0568909457927038,9.264716226062733e-16,0.3600346487683552,34.599999999999994,33.6,31.8,0.0308333333333333,135.0,0.0029376870312263,undisturbed,UNSODA lab comment: undisturbed samples,3.1467154113931927e-21,0.3602581182007854,0.0759079116445408,1.01,0.0572205250261018,0.0028517909594317
UNSODA_1130,UNSODA_P113,sandy loam,0.6636783874095064,1.2925328180592952,1.8537438037053248e-15,0.3992336000605364,71.10000000000001,22.199999999999996,6.7,0.1141666666666666,10.0,0.0060146192445949,undisturbed,UNSODA lab comment: undisturbed samples,3.0225674911673324e-14,0.3991969388635104,0.5454120628862761,1.010000000113782,0.3031277694158737,0.0056305503723885
UNSODA_1131,UNSODA_P113,sandy loam,0.1687071604815232,1.2110483999995216,1.089516707599659e-15,0.2383874636190319,70.8,21.699999999999996,7.5,0.156,31.5,0.0044951331087712,undisturbed,UNSODA lab comment: undisturbed samples,2.831804954262396e-23,0.2392079912042884,0.1370164122436573,1.01,0.2222269452986524,0.003952151874693
UNSODA_1132,UNSODA_P113,sandy clay loam,0.0520738165019526,1.186074015027107,1.7844311491689748e-19,0.334921278325712,57.8,20.7,21.5,0.0172916666666666,58.5,0.0113641376250646,undisturbed,UNSODA lab comment: undisturbed samples,0.1360368918221104,0.3285077996474404,0.0088949521546832,1.01,0.9432857916822676,0.0107993343414627
